Anos,LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3,Re_real,Re_spread
10,TRUE,FALSE,FALSE,FALSE,463.81,704,393.41,534.21,675.01,815.81,1099.57,609.22
30,TRUE,FALSE,FALSE,FALSE,434.85,905.36,344.31,525.38,706.46,887.53,1061.71,572.51
10PRM30,TRUE,FALSE,FALSE,FALSE,236.62,889.72,147.65,325.6,503.54,681.48,812.71,324.44
10PRM30,TRUE,FALSE,FALSE,FALSE,228.19,878.85,140.31,316.08,491.84,667.61,802.93,314.22
30,TRUE,FALSE,FALSE,FALSE,437.43,911.39,346.29,528.57,710.85,893.13,1064.77,575.79
20,TRUE,FALSE,FALSE,FALSE,290.43,758.51,214.58,366.28,517.98,669.68,878.39,391.5
10PRM30,TRUE,FALSE,FALSE,FALSE,230.15,887.39,141.41,318.89,496.36,673.84,806.21,316.54
10PRM30,TRUE,FALSE,FALSE,FALSE,230.35,883.62,141.99,318.72,495.44,672.17,806.05,316.84
30,TRUE,FALSE,FALSE,FALSE,438.21,903.84,347.83,528.6,709.37,890.13,1063.48,576.48
20,TRUE,FALSE,FALSE,FALSE,292.15,757,216.45,367.85,519.25,670.65,883.9,394.36
10PRM30,TRUE,FALSE,FALSE,FALSE,234.13,885.75,145.56,322.71,499.86,677.01,809.33,321.25
10,TRUE,FALSE,FALSE,FALSE,469.65,704.44,399.2,540.09,680.98,821.87,1104.99,616.08
20,TRUE,FALSE,FALSE,FALSE,293.31,759.06,217.4,369.21,521.02,672.84,887.21,395.98
30,TRUE,FALSE,FALSE,FALSE,438.02,909.15,347.11,528.94,710.77,892.6,1064.95,576.32
10,TRUE,FALSE,FALSE,FALSE,466.01,705.55,395.46,536.57,677.68,818.79,1100.52,611.47
20,TRUE,FALSE,FALSE,FALSE,291.97,758.77,216.09,367.84,519.6,671.35,881.4,393.51
10PRM30,TRUE,FALSE,FALSE,FALSE,235.5,879.52,147.55,323.45,499.36,675.26,811.91,323.03
10,TRUE,FALSE,FALSE,FALSE,455.03,705.65,384.46,525.59,666.72,807.85,1086.39,597.81
10,TRUE,FALSE,FALSE,FALSE,459.94,701.74,389.76,530.11,670.46,810.81,1092.92,603.86
20,TRUE,FALSE,FALSE,FALSE,302.69,759.32,226.76,378.62,530.48,682.35,895.35,407.14
10PRM30,TRUE,FALSE,FALSE,FALSE,235.23,884.1,146.82,323.64,500.46,677.28,811.73,322.74
10PRM30,TRUE,FALSE,FALSE,FALSE,227.64,886.29,139.01,316.27,493.52,670.78,801.34,313.29
20,TRUE,FALSE,FALSE,FALSE,300.67,757.15,224.96,376.39,527.82,679.24,895.71,405.11
20,TRUE,FALSE,FALSE,FALSE,300.86,757.43,225.11,376.6,528.09,679.57,895.06,405.24
10,TRUE,FALSE,FALSE,FALSE,457.19,704.68,386.72,527.66,668.6,809.53,1088.26,600.25
20,TRUE,FALSE,FALSE,FALSE,296.72,755.53,221.17,372.28,523.39,674.49,886.17,399.19
10PRM30,TRUE,FALSE,FALSE,FALSE,225.73,883.63,137.37,314.1,490.82,667.55,800.76,311.26
10PRM30,TRUE,FALSE,FALSE,FALSE,231.55,886.12,142.94,320.16,497.39,674.61,807.4,318.41
20,TRUE,FALSE,FALSE,FALSE,301.35,760.4,225.31,377.39,529.47,681.55,893.79,405.66
20,TRUE,FALSE,FALSE,FALSE,290.8,761.09,214.69,366.91,519.12,671.34,879.9,392.16
10PRM30,TRUE,FALSE,FALSE,FALSE,232.95,879.88,144.96,320.94,496.91,672.89,808.11,319.73
20,TRUE,FALSE,FALSE,FALSE,296.85,763.62,220.49,373.21,525.94,678.66,889.82,400.27
10,TRUE,FALSE,FALSE,FALSE,470.23,705.2,399.71,540.75,681.79,822.83,1106.11,616.82
10PRM30,TRUE,FALSE,FALSE,FALSE,223.79,884.35,135.36,312.23,489.1,665.97,795.4,308.08
20,TRUE,FALSE,FALSE,FALSE,303.74,757.59,227.98,379.5,531.01,682.53,897.76,408.68
30,TRUE,FALSE,FALSE,FALSE,433.78,913.95,342.39,525.18,707.97,890.76,1059.95,571.11
10PRM30,TRUE,FALSE,FALSE,FALSE,228.71,887.41,139.97,317.45,494.93,672.42,803.1,314.6
20,TRUE,FALSE,FALSE,FALSE,299.27,760.6,223.21,375.33,527.45,679.57,891.22,402.9
30,TRUE,FALSE,FALSE,FALSE,435.43,906.68,344.76,526.1,707.43,888.77,1063.14,573.45
10,TRUE,FALSE,FALSE,FALSE,460.46,705.67,389.89,531.03,672.16,813.3,1093.34,604.53
30,TRUE,FALSE,FALSE,FALSE,427.97,905.92,337.38,518.56,699.75,880.93,1053.44,564.03
30,TRUE,FALSE,FALSE,FALSE,431.22,909.58,340.26,522.18,704.09,886.01,1056.33,567.97
30,TRUE,FALSE,FALSE,FALSE,428.16,907.2,337.44,518.88,700.32,881.76,1053.21,564.41
20,TRUE,FALSE,FALSE,FALSE,303.64,760.97,227.54,379.73,531.93,684.12,896.44,408.31
10,TRUE,FALSE,FALSE,FALSE,464.33,705.6,393.77,534.89,676.01,817.13,1098.12,609.47
20,TRUE,FALSE,FALSE,FALSE,297.71,756.12,222.1,373.32,524.54,675.77,890.15,401.16
10,TRUE,FALSE,FALSE,FALSE,468.39,696.18,398.77,538.01,677.24,816.48,1103.36,614.47
10,TRUE,FALSE,FALSE,FALSE,459.76,701.93,389.57,529.95,670.34,810.72,1094.26,604.09
30,TRUE,FALSE,FALSE,FALSE,430.36,917.65,338.6,522.13,705.65,889.18,1056.07,566.89
20,TRUE,FALSE,FALSE,FALSE,299.25,760.54,223.2,375.3,527.41,679.52,890.86,402.91
10PRM30,TRUE,FALSE,FALSE,FALSE,226.7,886.9,138.01,315.39,492.77,670.15,801,312.26
10,TRUE,FALSE,FALSE,FALSE,470.57,696.22,400.95,540.19,679.44,818.68,1106.4,617.44
10,TRUE,FALSE,FALSE,FALSE,470.39,704.76,399.91,540.87,681.82,822.77,1105.63,616.97
10,TRUE,FALSE,FALSE,FALSE,465.8,704.23,395.38,536.23,677.07,817.92,1098,610.73
10PRM30,TRUE,FALSE,FALSE,FALSE,227.55,886.48,138.9,316.2,493.49,670.79,801.31,313.13
30,TRUE,FALSE,FALSE,FALSE,433.3,905.14,342.78,523.81,704.84,885.87,1060.51,570.65
10,TRUE,FALSE,FALSE,FALSE,462.08,699.1,392.17,531.99,671.81,811.63,1095.26,606.51
10PRM30,TRUE,FALSE,FALSE,FALSE,236.07,889.81,147.09,325.05,503.01,680.97,811.45,323.6
10,TRUE,FALSE,FALSE,FALSE,465.03,707.63,394.27,535.79,677.32,818.84,1097.63,610.07
10PRM30,TRUE,FALSE,FALSE,FALSE,237.7,887.43,148.96,326.45,503.93,681.42,817.07,326.43
10PRM30,TRUE,FALSE,FALSE,FALSE,229.98,880.44,141.94,318.02,494.11,670.2,808.87,317.01
20,TRUE,FALSE,FALSE,FALSE,303.1,756.75,227.43,378.78,530.13,681.48,897.17,407.88
10,TRUE,FALSE,FALSE,FALSE,464.51,704.67,394.04,534.97,675.91,816.84,1098.48,609.68
10PRM30,TRUE,FALSE,FALSE,FALSE,239.14,878.88,151.25,327.03,502.8,678.58,815.94,327.58
30,TRUE,FALSE,FALSE,FALSE,428.42,909,337.52,519.32,701.12,882.92,1052.72,564.42
20,TRUE,FALSE,FALSE,FALSE,299.91,756.42,224.26,375.55,526.83,678.12,893.75,403.9
10,TRUE,FALSE,FALSE,FALSE,464.36,705.88,393.77,534.95,676.12,817.3,1099.53,609.62
30,TRUE,FALSE,FALSE,FALSE,426.61,907.4,335.87,517.35,698.83,880.31,1050.52,562.14
20,TRUE,FALSE,FALSE,FALSE,294.59,756.95,218.9,370.29,521.68,673.07,884.79,396.86
30,TRUE,FALSE,FALSE,FALSE,424.72,909.46,333.77,515.66,697.56,879.45,1047.31,559.61
10,TRUE,FALSE,FALSE,FALSE,467.68,704.96,397.18,538.18,679.17,820.16,1103.4,613.79
30,TRUE,FALSE,FALSE,FALSE,438.45,904.83,347.96,528.93,709.9,890.86,1067.18,577.29
10PRM30,TRUE,FALSE,FALSE,FALSE,217.63,883.33,129.3,305.96,482.63,659.3,792.33,301.56
10,TRUE,FALSE,FALSE,FALSE,466.25,699.92,396.26,536.25,676.23,816.21,1101.3,612.05
20,TRUE,FALSE,FALSE,FALSE,305.74,765.47,229.19,382.28,535.38,688.47,899,410.81
10PRM30,TRUE,FALSE,FALSE,FALSE,236.96,882.44,148.72,325.21,501.7,678.18,814.47,325.12
30,TRUE,FALSE,FALSE,FALSE,440.02,904.33,349.59,530.46,711.32,892.19,1067.7,579.19
10,TRUE,FALSE,FALSE,FALSE,476.41,702.64,406.15,546.68,687.2,827.73,1112.7,624.48
10,TRUE,FALSE,FALSE,FALSE,463.43,704.18,393.01,533.85,674.69,815.52,1097.68,608.54
10,TRUE,FALSE,FALSE,FALSE,463.94,704.41,393.5,534.38,675.26,816.14,1096.66,608.68
20,TRUE,FALSE,FALSE,FALSE,302.95,758.36,227.11,378.78,530.45,682.13,896.18,407.49
10,TRUE,FALSE,FALSE,FALSE,469.86,701.62,399.7,540.02,680.34,820.67,1104.92,616.2
10PRM30,TRUE,FALSE,FALSE,FALSE,228.38,884.13,139.97,316.79,493.62,670.45,803.53,314.32
30,TRUE,FALSE,FALSE,FALSE,433.15,904.44,342.71,523.6,704.48,885.37,1058.51,570.37
20,TRUE,FALSE,FALSE,FALSE,296.53,761.21,220.41,372.65,524.89,677.13,889.27,399.76
10PRM30,TRUE,FALSE,FALSE,FALSE,229.22,882.34,140.99,317.45,493.92,670.39,803.06,315.08
10,TRUE,FALSE,FALSE,FALSE,465.4,703.96,395.01,535.8,676.59,817.38,1100.99,611.06
10PRM30,TRUE,FALSE,FALSE,FALSE,227.55,886.3,138.92,316.18,493.45,670.71,802.23,313.3
10PRM30,TRUE,FALSE,FALSE,FALSE,221.74,883.45,133.39,310.08,486.77,663.46,794.61,305.93
20,TRUE,FALSE,FALSE,FALSE,301.21,762.92,224.92,377.5,530.09,682.67,893.68,405.3
30,TRUE,FALSE,FALSE,FALSE,438.02,910.28,346.99,529.04,711.1,893.16,1064.36,576.42
20,TRUE,FALSE,FALSE,FALSE,301.65,756,226.05,377.25,528.45,679.65,893.6,405.69
20,TRUE,FALSE,FALSE,FALSE,294.88,758.66,219.01,370.75,522.48,674.21,888.04,397.92
10,TRUE,FALSE,FALSE,FALSE,468.53,703.45,398.18,538.88,679.57,820.26,1104.78,614.79
30,TRUE,FALSE,FALSE,FALSE,440.15,902.9,349.86,530.44,711.01,891.59,1067.86,579.25
10,TRUE,FALSE,FALSE,FALSE,461.24,699.29,391.31,531.17,671.03,810.88,1094.8,605.39
10PRM30,TRUE,FALSE,FALSE,FALSE,234.21,877.15,146.5,321.93,497.36,672.79,809.4,321.41
20,TRUE,FALSE,FALSE,FALSE,298.13,757.14,222.41,373.84,525.27,676.7,891.06,401.68
10PRM30,TRUE,FALSE,FALSE,FALSE,227.06,886.51,138.41,315.71,493.01,670.32,803.09,313.04
30,TRUE,FALSE,FALSE,FALSE,429.8,908.91,338.91,520.7,702.48,884.26,1055.38,566.44
20,TRUE,FALSE,FALSE,FALSE,298.76,760.49,222.71,374.81,526.91,679,891.89,402.52
10,TRUE,FALSE,FALSE,FALSE,464.88,701.59,394.72,535.04,675.35,815.67,1099.39,610.01
10PRM30,TRUE,FALSE,FALSE,FALSE,218.03,885.62,129.47,306.59,483.72,660.84,790.67,301.51
30,TRUE,FALSE,FALSE,FALSE,435.74,904.49,345.29,526.19,707.09,887.99,1060.98,573.35
20,TRUE,FALSE,FALSE,FALSE,298.49,759.48,222.54,374.43,526.33,678.23,891.1,402.04
10PRM30,TRUE,FALSE,FALSE,FALSE,229.92,883.62,141.56,318.29,495.01,671.73,804.92,316.05
20,TRUE,FALSE,FALSE,FALSE,292.37,758.5,216.52,368.22,519.92,671.62,884.98,394.74
30,TRUE,FALSE,FALSE,FALSE,433.08,905.44,342.54,523.63,704.72,885.8,1060.47,570.63
20,TRUE,FALSE,FALSE,FALSE,296.71,755.71,221.14,372.28,523.42,674.56,888.44,399.79
10,TRUE,FALSE,FALSE,FALSE,461.27,706.12,390.65,531.88,673.1,814.32,1095.68,605.75
30,TRUE,FALSE,FALSE,FALSE,437.23,902.69,346.97,527.5,708.04,888.58,1063.81,575.43
20,TRUE,FALSE,FALSE,FALSE,293.28,759.51,217.33,369.23,521.13,673.03,884.78,395.46
10PRM30,TRUE,FALSE,FALSE,FALSE,233.57,884.57,145.12,322.03,498.94,675.86,809.96,320.95
10,TRUE,FALSE,FALSE,FALSE,468.88,705.02,398.38,539.38,680.39,821.39,1104.27,615.16
30,TRUE,FALSE,FALSE,FALSE,434.35,904.03,343.95,524.76,705.56,886.37,1061.54,571.95
10PRM30,TRUE,FALSE,FALSE,FALSE,225.38,878.86,137.5,313.27,489.04,664.81,798.5,310.42
30,TRUE,FALSE,FALSE,FALSE,436.91,903.46,346.57,527.26,707.95,888.64,1062.69,574.96
20,TRUE,FALSE,FALSE,FALSE,297.15,761.01,221.05,373.25,525.45,677.65,890.64,400.76
10PRM30,TRUE,FALSE,FALSE,FALSE,227.67,884.06,139.26,316.07,492.89,669.7,802.12,313.49
10PRM30,TRUE,FALSE,FALSE,FALSE,226.72,884.8,138.23,315.2,492.16,669.12,801.59,312.36
10PRM30,TRUE,FALSE,FALSE,FALSE,226,881.43,137.86,314.14,490.43,666.72,799.25,311.15
20,TRUE,FALSE,FALSE,FALSE,294.09,762.9,217.8,370.38,522.96,675.54,886.98,396.96
10PRM30,TRUE,FALSE,FALSE,FALSE,221.16,885.4,132.62,309.7,486.78,663.86,794.75,305.53
30,TRUE,FALSE,FALSE,FALSE,434.92,901.14,344.81,525.03,705.26,885.49,1061.3,572.72
30,TRUE,FALSE,FALSE,FALSE,432.91,905.7,342.34,523.48,704.62,885.76,1059.88,570.38
10,TRUE,FALSE,FALSE,FALSE,469.56,701.79,399.38,539.74,680.1,820.45,1104.94,616.1
10PRM30,TRUE,FALSE,FALSE,FALSE,224.89,886.18,136.27,313.51,490.74,667.98,801.2,310.39
30,TRUE,FALSE,FALSE,FALSE,437.93,902.76,347.65,528.2,708.76,889.31,1064.55,576.25
30,TRUE,FALSE,FALSE,FALSE,420.39,907.7,329.62,511.16,692.7,874.24,1042.96,554.3
30,TRUE,FALSE,FALSE,FALSE,435.33,906.65,344.67,526,707.33,888.66,1061.31,573.04
10,TRUE,FALSE,FALSE,FALSE,460.78,704.24,390.36,531.21,672.05,812.9,1092.2,604.67
10PRM30,TRUE,FALSE,FALSE,FALSE,219.64,884.36,131.2,308.08,484.95,661.82,791.65,303.34
10,TRUE,FALSE,FALSE,FALSE,462.66,705.11,392.15,533.18,674.2,815.22,1094.89,607.18
10,TRUE,FALSE,FALSE,FALSE,464.71,703.15,394.4,535.03,675.66,816.29,1095.58,609.29
10PRM30,TRUE,FALSE,FALSE,FALSE,221.4,882.36,133.17,309.64,486.11,662.59,794.09,305.5
30,TRUE,FALSE,FALSE,FALSE,436.95,908.36,346.11,527.78,709.46,891.13,1064.1,575.31
20,TRUE,FALSE,FALSE,FALSE,301.81,760.39,225.77,377.85,529.93,682.01,893.64,405.96
10PRM30,TRUE,FALSE,FALSE,FALSE,219.72,884.23,131.3,308.14,484.99,661.83,792.34,303.58
10,TRUE,FALSE,FALSE,FALSE,474.21,706.03,403.61,544.81,686.02,827.22,1109.66,621.55
