LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3
FALSE,FALSE,TRUE,FALSE,50.9,878.04,50.9,50.9,489.92,928.94
FALSE,FALSE,FALSE,TRUE,43.71,881.38,-44.43,131.85,308.13,484.4
FALSE,TRUE,FALSE,TRUE,289.91,702.2,219.69,360.13,500.57,641.01
FALSE,TRUE,TRUE,FALSE,289.35,703.34,289.35,289.35,641.02,992.7
TRUE,FALSE,TRUE,FALSE,231.24,885.17,231.24,231.24,673.83,1116.41
TRUE,FALSE,FALSE,FALSE,233.74,881.43,145.59,321.88,498.16,674.45
FALSE,TRUE,TRUE,FALSE,290.46,701.99,290.46,290.46,641.46,992.45
TRUE,FALSE,FALSE,FALSE,227.49,886.69,138.82,316.16,493.5,670.84
TRUE,FALSE,FALSE,FALSE,225.72,885.99,137.12,314.32,491.52,668.72
TRUE,TRUE,TRUE,FALSE,462.67,704.02,462.67,462.67,814.69,1166.7
FALSE,TRUE,TRUE,TRUE,276.98,705.94,276.98,276.98,629.94,982.91
TRUE,TRUE,TRUE,FALSE,463.6,701.5,463.6,463.6,814.35,1165.09
FALSE,FALSE,TRUE,TRUE,33.52,885.9,33.52,33.52,476.47,919.42
TRUE,TRUE,FALSE,FALSE,461.03,703.02,390.73,531.34,671.94,812.54
FALSE,TRUE,FALSE,TRUE,286.15,705.06,215.64,356.65,497.66,638.68
TRUE,TRUE,TRUE,FALSE,459.36,708.31,459.36,459.36,813.52,1167.68
TRUE,FALSE,TRUE,TRUE,221.27,880.4,221.27,221.27,661.47,1101.66
FALSE,TRUE,TRUE,FALSE,292.17,707.4,292.17,292.17,645.87,999.58
TRUE,TRUE,TRUE,FALSE,470.46,705.5,470.46,470.46,823.21,1175.96
TRUE,TRUE,TRUE,FALSE,472.79,703.77,472.79,472.79,824.68,1176.56
TRUE,FALSE,FALSE,TRUE,217.23,883.99,128.83,305.63,482.42,659.22
FALSE,FALSE,TRUE,TRUE,51.3,883.12,51.3,51.3,492.86,934.42
FALSE,TRUE,TRUE,TRUE,286.24,707.66,286.24,286.24,640.07,993.9
